Tm,G,MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS,OPP_Made_Playoffs
CLE,13,240.0,31.0,72.8,0.426,5.0,16.8,0.297,26.0,56.0,0.46399999999999997,20.8,26.9,0.7709999999999999,9.6,28.6,38.2,17.7,6.8,4.2,13.2,23.5,87.8,False
BOS,26,240.0,30.5,71.7,0.426,5.3,16.0,0.32899999999999996,25.3,55.6,0.45399999999999996,22.4,29.4,0.762,9.8,26.5,36.3,18.5,6.1,5.0,14.2,22.8,88.8,False
DET,17,240.0,32.3,72.4,0.446,4.6,13.9,0.335,27.6,58.5,0.47200000000000003,19.9,27.2,0.73,11.7,27.6,39.4,16.9,6.7,3.9,14.6,21.8,89.1,False
HOU,6,240.0,33.8,75.7,0.447,5.3,14.8,0.36,28.5,60.8,0.46799999999999997,17.5,25.3,0.691,12.8,30.7,43.5,18.5,5.5,6.2,12.3,21.8,90.5,False
PHI,6,240.0,36.7,75.2,0.488,5.3,14.0,0.381,31.3,61.2,0.512,14.2,19.0,0.746,12.2,26.3,38.5,23.2,6.3,6.8,17.2,23.7,92.8,False
NOP,12,240.0,32.9,77.4,0.425,8.9,23.8,0.375,24.0,53.7,0.447,18.2,24.0,0.757,11.7,32.1,43.8,21.8,4.2,4.0,12.3,20.7,92.9,False
SAS,17,242.9,36.9,81.2,0.455,5.1,14.6,0.34700000000000003,31.9,66.6,0.479,16.0,22.3,0.718,9.5,33.1,42.5,17.9,6.9,5.3,11.0,20.3,94.9,False
ORL,10,240.0,35.5,82.7,0.429,5.8,17.7,0.32799999999999996,29.7,65.0,0.457,18.7,21.7,0.862,10.4,28.6,39.0,21.0,7.8,3.4,9.0,22.0,95.5,False
WAS,6,240.0,33.3,77.3,0.431,8.3,21.8,0.382,25.0,55.5,0.45,20.5,29.2,0.703,13.2,31.7,44.8,23.0,5.8,4.8,13.7,23.2,95.5,False
ATL,7,240.0,37.6,81.7,0.46,7.1,18.7,0.382,30.4,63.0,0.483,16.9,21.7,0.7759999999999999,13.0,26.4,39.4,24.0,8.6,5.7,10.6,25.0,99.1,False
UTA,12,242.1,34.4,76.7,0.449,6.3,18.4,0.33899999999999997,28.2,58.3,0.484,24.1,32.3,0.745,10.7,28.9,39.6,18.1,7.4,6.5,12.7,22.8,99.2,False
LAL,21,241.2,36.1,82.9,0.436,6.8,19.2,0.354,29.3,63.6,0.461,21.1,27.3,0.775,12.5,30.9,43.4,21.9,7.2,4.4,13.3,25.0,100.2,False
PHO,5,250.0,39.8,85.2,0.467,4.4,12.0,0.36700000000000005,35.4,73.2,0.484,18.4,24.2,0.76,10.0,33.6,43.6,15.8,6.0,5.0,13.0,27.6,102.4,False
DAL,5,240.0,39.6,81.6,0.485,6.8,14.8,0.45899999999999996,32.8,66.8,0.491,16.8,21.6,0.778,10.0,31.0,41.0,20.8,6.0,5.6,8.4,22.4,102.8,False
TOR,5,240.0,37.0,78.4,0.47200000000000003,9.6,29.6,0.324,27.4,48.8,0.561,20.4,26.4,0.773,12.8,32.6,45.4,19.6,5.4,5.2,13.8,18.0,104.0,False
DEN,4,240.0,42.3,87.5,0.483,9.3,23.3,0.39799999999999996,33.0,64.3,0.514,21.0,29.8,0.706,11.3,31.3,42.5,28.0,7.0,6.3,12.0,22.5,114.8,False
