Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Made_Playoffs
PHO,15,241.7,41.8,84.8,0.493,8.6,19.7,0.436,33.2,65.1,0.51,19.8,25.8,0.767,12.1,31.1,43.1,20.5,6.1,6.3,12.9,20.1,112.0,False
DAL,13,241.9,38.1,84.2,0.452,6.6,17.5,0.379,31.5,66.7,0.47200000000000003,22.4,28.5,0.7859999999999999,14.4,29.1,43.5,17.5,7.2,5.1,13.2,22.7,105.2,False
MEM,4,240.0,41.5,87.8,0.473,7.8,19.8,0.392,33.8,68.0,0.496,12.0,17.0,0.706,11.8,27.8,39.5,21.0,5.8,4.5,10.8,24.5,102.8,False
CHI,6,240.0,35.5,84.7,0.419,9.0,23.2,0.38799999999999996,26.5,61.5,0.431,22.5,31.2,0.722,14.2,30.3,44.5,21.7,6.3,5.0,15.2,29.2,102.5,False
SAC,5,240.0,38.4,86.2,0.445,5.8,20.8,0.27899999999999997,32.6,65.4,0.498,19.6,24.6,0.797,13.0,23.0,36.0,20.2,6.2,4.0,11.2,25.8,102.2,False
WAS,10,240.0,35.1,82.6,0.425,5.6,18.8,0.298,29.5,63.8,0.462,24.6,33.8,0.728,12.9,29.9,42.8,17.2,8.2,5.8,13.7,25.4,100.4,False
OKC,11,240.0,35.5,77.5,0.45799999999999996,4.8,15.7,0.306,30.6,61.7,0.496,22.8,28.5,0.799,12.6,27.6,40.3,16.2,6.5,4.5,13.8,26.1,98.5,False
MIA,15,243.3,36.0,73.1,0.49200000000000005,6.0,15.5,0.38799999999999996,30.0,57.7,0.52,20.0,29.9,0.6679999999999999,8.3,33.3,41.6,18.9,5.5,5.7,15.3,24.5,98.0,False
HOU,7,240.0,35.0,75.1,0.466,7.1,17.7,0.40299999999999997,27.9,57.4,0.485,20.4,25.9,0.79,10.7,27.0,37.7,18.0,7.3,5.9,14.3,24.7,97.6,False
SAS,23,242.2,34.7,76.5,0.45399999999999996,7.1,18.3,0.389,27.6,58.1,0.474,20.4,28.0,0.727,12.3,29.7,42.1,18.4,5.6,5.8,14.5,21.9,96.9,False
BRK,4,252.5,33.5,84.8,0.395,6.3,21.5,0.29100000000000004,27.3,63.3,0.431,23.5,31.3,0.752,13.0,29.8,42.8,21.3,7.5,1.3,13.0,30.8,96.8,False
PHI,5,245.0,34.8,79.6,0.43700000000000006,6.6,19.4,0.34,28.2,60.2,0.46799999999999997,14.6,20.4,0.716,9.6,25.2,34.8,19.8,8.6,4.0,12.8,21.8,90.8,False
DET,25,242.0,34.5,79.0,0.43700000000000006,4.5,13.9,0.326,30.0,65.1,0.461,16.8,22.6,0.742,12.4,29.9,42.3,20.5,7.3,6.1,12.2,21.0,90.3,False
DEN,5,245.0,32.8,78.6,0.41700000000000004,2.2,8.4,0.262,30.6,70.2,0.436,22.4,30.4,0.737,10.2,29.2,39.4,16.4,6.4,5.8,13.0,27.0,90.2,False
BOS,7,243.6,32.9,74.3,0.442,4.9,14.9,0.327,28.0,59.4,0.47100000000000003,17.1,22.7,0.755,10.3,29.1,39.4,16.6,8.4,6.4,15.3,25.4,87.7,False
IND,13,241.9,28.8,73.0,0.395,5.6,17.8,0.316,23.2,55.2,0.42100000000000004,20.7,26.4,0.784,10.9,29.2,40.1,18.0,8.1,5.9,15.1,22.0,84.0,False
